Deputado,Partido,Estado,Voto
Abílio Santana,PL,BA,Sim
Abou Anni,PSL,SP,Sim
Acácio Favacho,PROS,AP,Sim
Adolfo Viana,PSDB,BA,Sim
Adriana Ventura,NOVO,SP,Não
Adriano do Baldy,PP,GO,Sim
Aécio Neves,PSDB,MG,Sim
Aelton Freitas,PL,MG,Sim
Afonso Florence,PT,BA,Sim
Afonso Hamm,PP,RS,Não
Afonso Motta,PDT,RS,AUSENTE
Aguinaldo Ribeiro,PP,PB,Sim
Airton Faleiro,PT,PA,Sim
AJ Albuquerque,PP,CE,Sim
Alan Rick,DEM,AC,Não
Alceu Moreira,MDB,RS,Não
Alcides Rodrigues,PATRIOTA,GO,Sim
Alê Silva,PSL,MG,Não
Alencar S. Braga,PT,SP,Sim
Alessandro Molon,PSB,RJ,Sim
Alex Manente,CIDADANIA,SP,Sim
Alex Santana,PDT,BA,Não
Alexandre Frota,PSDB,SP,Sim
Alexandre Leite,DEM,SP,Sim
Alexandre Padilha,PT,SP,Sim
Alexis Fonteyne,NOVO,SP,Não
Alice Portugal,PCdoB,BA,Sim
Aliel Machado,PSB,PR,Sim
Aline Gurgel,REPUBLICANOS,AP,Sim
Aline Sleutjes,PSL,PR,Não
Altineu Côrtes,PL,RJ,Sim
Aluisio Mendes,PSC,MA,Não
Amaro Neto,REPUBLICANOS,ES,Sim
André Abdon,PP,AP,Sim
André de Paula,PSD,PE,Sim
André Ferreira,PSC,PE,Sim
André Figueiredo,PDT,CE,Sim
André Fufuca,PP,MA,Sim
André Janones,AVANTE,MG,Sim
Angela Amin,PP,SC,Não
Aníbal Gomes,DEM,CE,Sim
Antonio Brito,PSD,BA,Sim
Arlindo Chinaglia,PT,SP,Sim
Arnaldo Jardim,CIDADANIA,SP,Sim
Aroldo Martins,REPUBLICANOS,PR,Sim
Arthur Lira,PP,AL,,PRESIDENTE
Arthur O. Maia,DEM,BA,Sim
Átila Lins,PP,AM,Sim
Átila Lira,PP,PI,Sim
Augusto Coutinho,SOLIDARIEDADE,PE,Sim
Áurea Carolina,PSOL,MG,Sim
Aureo Ribeiro,SOLIDARIEDADE,RJ,Sim
Bacelar,PODE,BA,Não
Baleia Rossi,MDB,SP,Sim
Benedita da Silva,PT,RJ,Sim
Benes Leocádio,REPUBLICANOS,RN,Sim
Beto Faro,PT,PA,Sim
Beto Pereira,PSDB,MS,Sim
Beto Rosado,PP,RN,Sim
Bia Cavassa,PSDB,MS,Sim
Bia Kicis,PSL,DF,Não
Bibo Nunes,PSL,RS,Não
Bilac Pinto,DEM,MG,Sim
Bira do Pindaré,PSB,MA,Sim
Boca Aberta,PROS,PR,Não
Bohn Gass,PT,RS,Sim
Bosco Costa,PL,SE,Sim
Bosco Saraiva,SOLIDARIEDADE,AM,Sim
Bozzella,PSL,SP,Sim
Bruna Furlan,PSDB,SP,Sim
Cacá Leão,PP,BA,Sim
Camilo Capiberibe,PSB,AP,Sim
Cap. Alberto Neto,REPUBLICANOS,AM,Não
Cap. Fábio Abreu,PL,PI,Não
Capitão Augusto,PL,SP,Não
Capitão Wagner,PROS,CE,Não
Carla Dickson,PROS,RN,Não
Carla Zambelli,PSL,SP,Não
Carlos Bezerra,MDB,MT,Sim
Carlos Chiodini,MDB,SC,Sim
Carlos Gaguim,DEM,TO,Sim
Carlos Gomes,REPUBLICANOS,RS,Sim
Carlos Jordy,PSL,RJ,Não
Carlos Sampaio,PSDB,SP,Sim
Carlos Veras,PT,PE,Sim
Carlos Zarattini,PT,SP,Sim
Carmen Zanotto,CIDADANIA,SC,Sim
Caroline de Toni,PSL,SC,Não
Cássio Andrade,PSB,PA,Sim
Celina Leão,PP,DF,Sim
Célio Moura,PT,TO,AUSENTE
Célio Silveira,PSDB,GO,Abstenção
Célio Studart,PV,CE,Sim
Celso Maldaner,MDB,SC,Sim
Celso Russomanno,REPUBLICANOS,SP,Sim
Celso Sabino,PSDB,PA,Sim
Cezinha Madureira,PSD,SP,Sim
Charles Fernandes,PSD,BA,Sim
Charlles Evangelis,PSL,MG,Não
Chico D´Angelo,PDT,RJ,Sim
Chiquinho Brazão,AVANTE,RJ,Sim
Chris Tonietto,PSL,RJ), AUSENTE
Christiane Yared,PL,PR,Sim
Christino Aureo,PP,RJ,Sim
Clarissa Garotinho,PROS,RJ,Sim
Claudio Cajado,PP,BA,Sim
Cleber Verde,REPUBLICANOS,MA,Sim
Coronel Armando,PSL,SC,Não
Coronel Tadeu,PSL,SP,Não
CoronelChrisóstom,PSL,RO,Não
Cristiano Vale,PL,PA,Sim
Da Vitória,CIDADANIA,ES,Não
Dagoberto Nogueira,PDT,MS,Sim
Damião Feliciano,PDT,PB), AUSENTE
